province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore
Dong Thap,2003,6,2003-06-01,130.587493886548,164.0048602299634,-33.41736634341541,-0.7701544874355126
Kien Giang,2003,6,2003-06-01,187.79756071867376,254.65169074579228,-66.85413002711852,-1.1725278723184513
Long An,2003,6,2003-06-01,143.6314738982999,198.65714875739437,-55.025674859094465,-1.0052468589207388
Tien Giang,2003,6,2003-06-01,141.0643395177457,187.59233333113949,-46.52799381339378,-0.8549139713171552
Soc Trang,2003,7,2003-07-01,357.4332935604351,260.21860368430214,97.21468987613298,1.388508569785746
Tra Vinh,2003,7,2003-07-01,274.2601786935359,216.16622208454055,58.09395660899537,1.0171050675097792
Vinh Long,2003,7,2003-07-01,263.29693227701995,228.0355210358104,35.261411241209544,0.6522416599193727
Bac Lieu,2003,7,2003-07-01,339.71824350149086,253.806979370529,85.91126413096185,1.2276960809206456
Ca Mau,2003,7,2003-07-01,374.2589928134184,275.01135536077027,99.24763745264812,1.2891457130309272
Can Tho city,2003,7,2003-07-01,293.96969706234427,231.23900979865647,62.7306872636878,1.1354273402531796
Hau Giang,2003,7,2003-07-01,388.64741374207046,287.44811534431636,101.19929839775409,1.4616687037238252
An Giang,2003,7,2003-07-01,255.7043800601789,201.0466543748563,54.65772568532259,1.1182153213048853
Ben Tre,2003,7,2003-07-01,228.46904379230665,200.41607507672273,28.052968715583916,0.6190359643420464
Dong Thap,2003,7,2003-07-01,200.7606767729063,182.16879604465439,18.59188072825191,0.45423411427480564
Kien Giang,2003,7,2003-07-01,443.9647042936427,312.61327918275373,131.35142511088895,1.707117531490187
Long An,2003,7,2003-07-01,225.5196626974314,233.2932626711261,-7.773599973694701,-0.1613814536747393
Tien Giang,2003,7,2003-07-01,218.5277143096989,217.03359163022654,1.4941226794723548,0.032188086063767746
Soc Trang,2003,8,2003-08-01,291.4852125164735,248.50821175075484,42.97700076571866,0.8682164379038508
Tra Vinh,2003,8,2003-08-01,249.34118241063,222.6970567527204,26.644125657909598,0.5800526173871392
Vinh Long,2003,8,2003-08-01,219.80142200508277,204.691038524929,15.110383480153757,0.38252979630824663
Bac Lieu,2003,8,2003-08-01,328.6991275373559,290.51532250362015,38.18380503373572,0.6218673506896146
Ca Mau,2003,8,2003-08-01,321.81024831573694,285.3516229322417,36.458625383495246,0.5436238419667002
Can Tho city,2003,8,2003-08-01,219.42686778249887,199.19164235846083,20.23522542403805,0.4236277985980174
Hau Giang,2003,8,2003-08-01,296.1246715553926,248.3426006936552,47.78207086173737,0.8912819647959813
An Giang,2003,8,2003-08-01,159.41394131940064,161.81253524050075,-2.3985939211001153,-0.060235222163111515
Ben Tre,2003,8,2003-08-01,183.82156219592807,186.48751947143057,-2.6659572755025067,-0.07625359772174978
Dong Thap,2003,8,2003-08-01,148.578419093231,154.52442247051914,-5.94600337728815,-0.17422775646020958
Kien Giang,2003,8,2003-08-01,312.71063716218697,291.70508460609824,21.00555255608873,0.30676650059485605
Long An,2003,8,2003-08-01,171.5034478042222,189.39210619350675,-17.888658389284558,-0.5091842615269917
