province_name,year,month,date,water_area_km2,province_area_km2,water_area_pct
Ca Mau,2015,5,2015-05-01,1067.7221103313502,5185.881144708419,20.589020082360253
Can Tho city,2015,5,2015-05-01,34.26287320586474,1398.2168353387826,2.4504692219331616
Hau Giang,2015,5,2015-05-01,10.808907250913071,1678.4219435418108,0.6439922507271374
An Giang,2015,5,2015-05-01,147.35309858438777,3540.966155975497,4.161381162475235
Ben Tre,2015,5,2015-05-01,309.110233004296,2293.238665129326,13.479200298886637
Dong Thap,2015,5,2015-05-01,115.8450584863135,3393.2412305670014,3.4139941906504574
Kien Giang,2015,5,2015-05-01,811.9182824537079,6294.25596863703,12.899352782907592
Long An,2015,5,2015-05-01,55.65636369164157,4493.542342739985,1.2385854955069706
Tien Giang,2015,5,2015-05-01,110.84488435492068,2393.1845244412143,4.631689835149753
Soc Trang,2015,6,2015-06-01,396.5191365900629,3348.8468758966987,11.840467817265894
Tra Vinh,2015,6,2015-06-01,282.4594460035011,2254.4401122278623,12.529028581041862
Vinh Long,2015,6,2015-06-01,85.9322179326856,1534.6515536941374,5.599461175785071
Bac Lieu,2015,6,2015-06-01,1002.9611261397032,2610.873855724368,38.41476768173616
Ca Mau,2015,6,2015-06-01,1165.9299127820225,5185.881144708419,22.4827735200163
Can Tho city,2015,6,2015-06-01,46.07562334520563,1398.2168353387826,3.2953131574933208
Hau Giang,2015,6,2015-06-01,21.55120886670112,1678.4219435418108,1.2840161527692908
An Giang,2015,6,2015-06-01,93.76733672854782,3540.966155975497,2.648072096659618
Ben Tre,2015,6,2015-06-01,360.2263514867852,2293.238665129326,15.708192826343716
Dong Thap,2015,6,2015-06-01,263.5880798253781,3393.2412305670014,7.768032447882675
Kien Giang,2015,6,2015-06-01,847.3850889195749,6294.25596863703,13.462831717393108
Long An,2015,6,2015-06-01,128.81998303917825,4493.542342739985,2.866780219559005
Tien Giang,2015,6,2015-06-01,148.5643859318384,2393.1845244412143,6.207811575520979
Soc Trang,2015,7,2015-07-01,137.6127617806122,3348.8468758966987,4.1092581082485165
Tra Vinh,2015,7,2015-07-01,101.72273976467272,2254.4401122278623,4.512106540907365
Vinh Long,2015,7,2015-07-01,67.92235139828925,1534.6515536941374,4.42591357202812
Bac Lieu,2015,7,2015-07-01,316.368765856691,2610.873855724368,12.117351635470602
